"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.09.2023","105,124","105,051","105,318","104,764","","0,07%"
"05.09.2023","105,051","104,578","105,334","104,553","","0,45%"
"04.09.2023","104,578","104,000","104,840","103,919","","0,68%"
"01.09.2023","103,872","103,965","105,013","103,858","","-0,09%"
"31.08.2023","103,965","105,048","105,431","103,645","","-1,03%"
"30.08.2023","105,048","103,720","105,437","103,592","","1,28%"
"29.08.2023","103,720","102,242","104,247","102,242","","1,45%"
"28.08.2023","102,242","103,100","103,649","102,099","","-0,30%"
"25.08.2023","102,554","102,427","103,445","102,223","","0,12%"
"24.08.2023","102,427","102,120","102,855","100,229","","0,30%"
"23.08.2023","102,120","102,220","103,250","99,576","","-0,10%"
"22.08.2023","102,220","101,879","103,500","101,879","","0,34%"
"21.08.2023","101,879","102,500","103,506","101,305","","-0,20%"
"18.08.2023","102,086","102,086","102,086","102,086","","0,00%"
"17.08.2023","102,086","102,807","105,150","99,502","","-0,70%"
"16.08.2023","102,807","106,866","107,100","101,892","","-3,80%"
"15.08.2023","106,866","107,424","108,892","103,764","","-0,52%"
"14.08.2023","107,424","107,500","111,777","106,477","","-1,43%"
"11.08.2023","108,978","106,547","109,165","106,533","","2,28%"
"10.08.2023","106,547","106,342","107,729","106,156","","0,19%"
"09.08.2023","106,342","106,493","107,805","105,500","","-0,14%"
"08.08.2023","106,493","104,954","106,639","104,850","","1,47%"
"07.08.2023","104,954","104,400","106,503","104,400","","-0,56%"
"04.08.2023","105,543","103,468","106,694","102,500","","2,00%"
"03.08.2023","103,468","102,921","105,650","102,174","","0,52%"
"02.08.2023","102,929","101,706","103,359","101,094","","1,19%"
"01.08.2023","101,715","100,790","101,820","100,552","","0,92%"
"31.07.2023","100,790","100,400","101,814","100,400","","-0,62%"
"28.07.2023","101,420","99,575","101,835","98,756","","1,85%"
"27.07.2023","99,579","99,711","100,703","98,928","","-0,12%"
"26.07.2023","99,702","99,671","99,963","99,238","","0,03%"
"25.07.2023","99,671","100,065","100,200","98,856","","-0,39%"
"24.07.2023","100,065","100,682","101,361","99,645","","-1,16%"
"21.07.2023","101,238","100,322","101,294","99,973","","0,92%"
"20.07.2023","100,317","103,030","103,251","100,308","","-2,63%"
"19.07.2023","103,030","102,175","103,039","101,431","","0,83%"
"18.07.2023","102,184","101,813","102,474","101,529","","0,36%"
"17.07.2023","101,813","101,342","102,020","101,058","","0,46%"
"14.07.2023","101,351","101,147","101,812","100,557","","0,20%"
"13.07.2023","101,147","100,817","101,753","100,010","","0,33%"
"12.07.2023","100,817","99,686","100,842","99,216","","1,13%"
"11.07.2023","99,686","100,260","100,292","98,845","","-0,57%"
"10.07.2023","100,260","100,500","100,822","99,244","","0,14%"
"07.07.2023","100,121","99,371","100,564","98,041","","0,75%"
"06.07.2023","99,371","99,061","102,638","98,011","","0,32%"
"05.07.2023","99,052","99,035","99,276","96,918","","0,03%"
"04.07.2023","99,026","97,671","99,172","96,239","","1,39%"
"03.07.2023","97,671","95,500","98,266","95,500","","0,79%"
"30.06.2023","96,908","94,399","97,999","94,339","","2,66%"
"29.06.2023","94,399","93,869","95,844","93,663","","0,56%"
"28.06.2023","93,873","93,545","94,746","92,859","","0,35%"
"27.06.2023","93,545","92,091","93,854","92,041","","1,58%"
"26.06.2023","92,091","91,103","92,805","91,103","","1,07%"
"23.06.2023","91,120","88,727","93,148","88,533","","2,70%"
"22.06.2023","88,727","91,948","92,363","88,703","","-3,50%"
"21.06.2023","91,948","91,564","92,673","91,474","","0,42%"
"20.06.2023","91,564","91,598","92,635","91,164","","-0,04%"
"19.06.2023","91,598","91,308","92,374","91,212","","-0,19%"
"16.06.2023","91,772","91,363","92,202","91,142","","0,45%"
"15.06.2023","91,363","91,090","91,485","90,192","","0,32%"
"14.06.2023","91,073","90,582","91,638","89,174","","0,55%"
"13.06.2023","90,574","90,266","90,997","88,809","","0,33%"
"12.06.2023","90,275","88,921","90,283","88,335","","1,52%"
"09.06.2023","88,921","88,427","89,431","87,956","","0,56%"
"08.06.2023","88,427","87,320","88,464","87,291","","1,27%"
"07.06.2023","87,316","87,028","87,867","86,471","","0,33%"
"06.06.2023","87,028","86,331","87,317","86,199","","0,81%"
"05.06.2023","86,331","86,521","88,587","86,307","","-0,21%"
"02.06.2023","86,513","87,156","87,651","86,496","","-0,74%"
"01.06.2023","87,156","87,201","87,521","86,174","","-0,05%"
"31.05.2023","87,201","80,688","87,238","80,410","","8,07%"
"30.05.2023","80,688","85,924","87,241","80,553","","-6,09%"
"29.05.2023","85,924","84,728","86,759","84,728","","1,40%"
"26.05.2023","84,735","85,819","86,816","84,720","","-1,26%"
"25.05.2023","85,819","86,148","86,303","85,401","","-0,39%"
"24.05.2023","86,156","86,324","86,779","85,903","","-0,20%"
"23.05.2023","86,324","87,029","87,101","85,955","","-0,81%"
"22.05.2023","87,029","86,900","87,113","86,003","","0,54%"
"19.05.2023","86,560","86,639","87,228","85,607","","-0,08%"
"18.05.2023","86,631","86,429","87,157","85,993","","0,23%"
"17.05.2023","86,433","87,460","87,762","86,405","","-1,17%"
"16.05.2023","87,452","86,720","87,849","86,126","","0,85%"
"15.05.2023","86,712","83,959","87,016","83,920","","2,89%"
"12.05.2023","84,275","84,030","85,167","83,252","","0,30%"
"11.05.2023","84,022","83,592","85,321","82,206","","0,52%"
"10.05.2023","83,592","85,523","85,857","83,276","","-2,26%"
"09.05.2023","85,527","85,466","86,370","84,813","","0,06%"
"08.05.2023","85,474","85,731","86,630","84,471","","-0,30%"
"05.05.2023","85,731","86,696","86,861","84,011","","-1,11%"
