nominal;data;curs;cdx
1;15.09.2023;96,1609;Äמככאנ ÑØÀ
1;14.09.2023;95,9794;Äמככאנ ÑØÀ
1;13.09.2023;94,7035;Äמככאנ ÑØÀ
1;12.09.2023;96,5083;Äמככאנ ÑØÀ
1;09.09.2023;97,9241;Äמככאנ ÑØÀ
1;08.09.2023;98,1961;Äמככאנ ÑØÀ
1;07.09.2023;97,8439;Äמככאנ ÑØÀ
1;06.09.2023;97,5383;Äמככאנ ÑØÀ
1;05.09.2023;96,6199;Äמככאנ ÑØÀ
1;02.09.2023;96,3411;Äמככאנ ÑØÀ
1;01.09.2023;96,3344;Äמככאנ ÑØÀ
1;31.08.2023;95,9283;Äמככאנ ÑØÀ
1;30.08.2023;95,7070;Äמככאנ ÑØÀ
1;29.08.2023;95,4717;Äמככאנ ÑØÀ
1;26.08.2023;94,7117;Äמככאנ ÑØÀ
1;25.08.2023;94,4007;Äמככאנ ÑØÀ
1;24.08.2023;94,4421;Äמככאנ ÑØÀ
1;23.08.2023;94,1185;Äמככאנ ÑØÀ
1;22.08.2023;94,1424;Äמככאנ ÑØÀ
1;19.08.2023;93,4047;Äמככאנ ÑØÀ
1;18.08.2023;93,7460;Äמככאנ ÑØÀ
1;17.08.2023;96,7045;Äמככאנ ÑØÀ
1;16.08.2023;97,4217;Äמככאנ ÑØÀ
1;15.08.2023;101,0399;Äמככאנ ÑØÀ
1;12.08.2023;98,2066;Äמככאנ ÑØÀ
1;11.08.2023;97,2794;Äמככאנ ÑØÀ
1;10.08.2023;97,3999;Äמככאנ ÑØÀ
1;09.08.2023;96,0755;Äמככאנ ÑØÀ
1;08.08.2023;96,5668;Äמככאנ ÑØÀ
1;05.08.2023;94,8076;Äמככאנ ÑØÀ
1;04.08.2023;93,7792;Äמככאנ ÑØÀ
1;03.08.2023;92,8410;Äמככאנ ÑØÀ
1;02.08.2023;91,7755;Äמככאנ ÑØÀ
1;01.08.2023;91,5923;Äמככאנ ÑØÀ
1;29.07.2023;90,9783;Äמככאנ ÑØÀ
1;28.07.2023;90,0225;Äמככאנ ÑØÀ
1;27.07.2023;90,0468;Äמככאנ ÑØÀ
1;26.07.2023;90,0945;Äמככאנ ÑØÀ
1;25.07.2023;90,4890;Äמככאנ ÑØÀ
1;22.07.2023;90,3846;Äמככאנ ÑØÀ
1;21.07.2023;90,8545;Äמככאנ ÑØÀ
